what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315780070900
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1315780078415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1315780079170
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315780083374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315780087510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780087761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780090445
closed,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780090642
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1315780094503
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.select.previous",1315780096890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1315780098240
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1315780100756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315780101589
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1315780105584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780115513
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1315780118071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780118320
opened,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780118722
activated,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780118794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780126739
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780127313
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315780132939
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1315780133003
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1315780133003
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315780135321
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1315780136357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780145278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780146072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1315780148078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1315780148906
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.select.previous",1315780151047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1315780155026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780155459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780156969
closed,editor,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1315780157166
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.DebugLast",1315780163810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780168478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780169824
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780171029
activated,perspective,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugPerspective",1315780178277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780178649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1315780178773
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1315780179385
